id,folder,architecture,dataset,layer size,depth,activation function,dropout,batch size,learning rate,epochs,loss,radian loss,mse loss,elapsed time
212,models/model212/,lstm,3x,141,4,Tanh,0.13,25,0.0002754228703338166,200,0.04534123683115467,0.04098126888275146,0.004359967948403208,02:55:32
213,models/model213/,mlp,3x,23,5,LeakyReLU,0.21,1160,5.128613839913648e-05,200,0.07977641047909856,0.06592647075653076,0.013849939722567796,00:27:34
214,models/model214/,lstm,3x,30,2,LeakyReLU,0.06,224,4.07380277804113e-05,200,0.04599379086866975,0.04095390701293945,0.005039883855730294,00:36:53
215,models/model215/,mlp,3x,31,4,Tanh,0.24,166,0.0009549925860214359,200,0.051512290521524846,0.04659669405221939,0.004915596469305456,00:29:04
216,models/model216/,mlp,3x,31,4,ReLU,0.23,210,6.309573444801929e-05,200,0.044953288319520654,0.040028199553489685,0.004925088766030967,00:28:39
217,models/model217/,mlp,3x,147,3,Tanh,0.27,1269,7.079457843841373e-06,200,0.213576624143403,0.2034236984848976,0.01015292565850541,00:29:08
218,models/model218/,lstm,3x,28,3,ReLU,0.09,415,1.096478196143185e-06,200,0.5891208313778042,0.4642789176106453,0.12484191376715897,00:34:51
219,models/model219/,mlp,3x,19,5,LeakyReLU,0.34,73,1.3489628825916533e-06,200,0.3434430167153477,0.26091486820578574,0.082528148509562,00:38:05
220,models/model220/,lstm,3x,24,5,Tanh,0.35,191,0.00012022644346174131,200,0.04625803627539427,0.04128804579377175,0.0049699904816225176,00:55:36
221,models/model221/,mlp,3x,27,6,LeakyReLU,0.48,34,1.071519305237607e-05,200,0.13297675027418887,0.1280124105215073,0.004964339752681554,00:44:23
222,models/model222/,lstm,3x,21,4,Tanh,0.1,21,3.8904514499428046e-05,200,0.03806129918713121,0.03317765203118323,0.004883647155947984,03:24:09
223,models/model223/,mlp,3x,85,6,Tanh,0.01,922,2.0417379446695274e-05,200,0.09357578430185096,0.08721176487207413,0.006364019429776818,00:29:32
224,models/model224/,lstm,3x,19,2,Tanh,0.41,20,1.0232929922807537e-06,200,0.14700844651088119,0.11122491121292112,0.03578353529796005,02:06:17
225,models/model225/,mlp,3x,232,2,ReLU,0.09,133,1.4791083881682072e-05,200,0.03472409457829781,0.03046624365448952,0.004257850923808292,00:33:29
226,models/model226/,mlp,3x,418,4,Tanh,0.17,803,1.2302687708123811e-06,200,0.21688253505155444,0.2066872216463089,0.010195313405245541,00:39:00
227,models/model227/,lstm,3x,28,2,Tanh,0.09,82,0.00046773514128719813,200,0.04063562819315122,0.03591195613145829,0.004723672061692924,00:52:56
228,models/model228/,lstm,3x,86,6,Tanh,0.36,415,5.888436553555884e-06,200,0.10898745978483929,0.09658432200551031,0.012403137779328971,00:47:16
229,models/model229/,mlp,3x,65,5,LeakyReLU,0.26,126,0.0003630780547701014,200,0.041041802004911004,0.03626562172174454,0.004776180283166469,00:31:58
230,models/model230/,mlp,3x,278,2,LeakyReLU,0.32,136,0.0007943282347242813,200,0.03907993442937732,0.03490174245834351,0.004178191971033812,00:33:14
231,models/model231/,mlp,3x,393,4,Tanh,0.05,40,1.8197008586099826e-06,200,0.07170140576548874,0.06672624349594115,0.004975162269547582,00:43:28
232,models/model232/,mlp,3x,31,6,LeakyReLU,0.34,1296,2.2908676527677747e-06,200,0.6365693353414535,0.5244574289321899,0.11211190640926362,00:27:58
233,models/model233/,mlp,3x,512,2,ReLU,0.28,232,0.00014791083881682073,200,0.03680132142826915,0.03241063380241394,0.004390687625855207,00:36:43
234,models/model234/,lstm,3x,308,2,Tanh,0.07,151,5.7543993733715664e-05,200,0.031889223226695323,0.029183848857879637,0.002705374368815683,01:15:14
235,models/model235/,mlp,3x,107,4,LeakyReLU,0.37,982,3.7153522909717276e-06,200,0.2082559428215027,0.0880998786687851,0.1201560641527176,00:28:20
236,models/model236/,lstm,3x,28,6,Tanh,0.1,948,0.000239883291901949,200,0.045139284870587285,0.03986694645881653,0.005272338411770761,00:34:54
237,models/model237/,lstm,3x,229,3,ReLU,0.13,138,4.168693834703355e-05,200,0.03314411429036408,0.029460150778293604,0.0036839635120704773,01:14:25
238,models/model238/,lstm,3x,326,2,LeakyReLU,0.38,18,1.8197008586099826e-06,200,0.04007263436866925,0.03521770733594895,0.004854927032720299,02:57:37
239,models/model239/,lstm,3x,39,5,LeakyReLU,0.37,604,0.00023442288153199226,200,0.05172726145200431,0.04672197270393372,0.005005288748070598,00:37:03
240,models/model240/,mlp,3x,192,2,ReLU,0.0,135,0.00039810717055349735,200,0.035580063892412,0.0315891931951046,0.003990870697307401,00:31:22
241,models/model241/,mlp,3x,218,5,Tanh,0.5,826,3.9810717055349695e-05,200,0.06401995126996188,0.05905342459678649,0.0049665266731753945,00:31:46
242,models/model242/,mlp,3x,171,2,Tanh,0.37,749,0.00013489628825916533,200,0.06693863602355123,0.06196264827251434,0.004975987751036882,00:29:42
243,models/model243/,mlp,3x,172,3,Tanh,0.3,1009,0.0002818382931264455,200,0.03852298091398551,0.03355416533350944,0.004968815580476075,00:29:30
244,models/model244/,lstm,3x,77,5,LeakyReLU,0.07,625,3.63078054770101e-05,200,0.05039492959622294,0.04350858926773071,0.006886340328492224,00:40:38
245,models/model245/,lstm,3x,40,4,Tanh,0.23,199,0.00047863009232263854,200,0.040048308096593245,0.035101397424936294,0.004946910671656953,00:44:53
246,models/model246/,lstm,3x,224,4,Tanh,0.14,362,2.6302679918953814e-05,200,0.03688318087765947,0.03239387500286102,0.004489305874798447,00:59:55
247,models/model247/,mlp,3x,23,6,Tanh,0.03,159,0.0003090295432513592,200,0.03742855945881456,0.03248896244168282,0.004939597017131746,00:29:52
248,models/model248/,lstm,3x,45,3,LeakyReLU,0.28,404,2.0892961308540407e-06,200,0.3100296673029661,0.2032589865922928,0.10677068071067333,00:38:04
249,models/model249/,lstm,3x,181,4,LeakyReLU,0.4,28,0.00010232929922807536,200,0.040701983705162995,0.03670822465419769,0.003993759050965311,02:38:27
250,models/model250/,mlp,3x,382,2,ReLU,0.34,48,0.00018197008586099826,200,0.03979159719869494,0.035277184009552,0.004514413189142942,00:37:19
251,models/model251/,mlp,3x,20,4,Tanh,0.16,116,5.128613839913648e-05,200,0.050623321019113064,0.04566141474246979,0.004961906276643275,00:30:10
252,models/model252/,lstm,3x,284,5,Tanh,0.38,33,1.7378008287493763e-06,200,0.044583072274690494,0.03971533831954002,0.00486773395515047,03:43:11
253,models/model253/,lstm,3x,24,6,ReLU,0.5,38,1.445439770745928e-05,200,0.1977235140660778,0.19276106822490696,0.0049624458411708485,02:55:11
254,models/model254/,mlp,3x,315,3,ReLU,0.27,962,0.00013182567385564074,200,0.036088047508615995,0.03160969877243042,0.00447834873618558,00:32:07
255,models/model255/,mlp,3x,22,6,LeakyReLU,0.37,680,1.4125375446227555e-05,200,0.27711089186370375,0.23446630597114565,0.042644585892558096,00:28:11
256,models/model256/,lstm,3x,47,5,Tanh,0.29,749,7.244359600749906e-05,200,0.054697948991321035,0.04882496243715287,0.005872986554168164,00:37:27
257,models/model257/,mlp,3x,20,2,Tanh,0.23,458,6.456542290346549e-06,200,0.25226732601970436,0.19530426478385926,0.05696306123584509,00:27:22
258,models/model258/,lstm,3x,17,5,LeakyReLU,0.19,35,0.0007413102413009177,200,0.06504400660400281,0.06012655660510065,0.004917449998902158,02:40:52
259,models/model259/,mlp,3x,35,2,LeakyReLU,0.1,190,1.2022644346174132e-06,200,0.20911473512649537,0.11821719199419022,0.09089754313230516,00:28:32
260,models/model260/,lstm,3x,112,5,Tanh,0.33,404,2.818382931264455e-05,200,0.04297306936699897,0.03785221481323242,0.0051208545537665484,00:46:14
261,models/model261/,mlp,3x,421,5,Tanh,0.4,123,0.0001445439770745928,200,0.035720276449108496,0.030790482848882677,0.00492979360022582,00:40:54
262,models/model262/,lstm,3x,162,6,Tanh,0.47,159,0.00031622776601683794,200,0.043399177853483704,0.0384398330450058,0.004959344808477908,01:13:48
263,models/model263/,lstm,3x,27,3,Tanh,0.1,17,0.0001445439770745928,200,0.03883106553740799,0.03416079607605934,0.004670269461348654,03:26:56
264,models/model264/,mlp,3x,25,5,LeakyReLU,0.15,436,1.122018454301963e-05,200,0.10669615463912488,0.07291260075569153,0.03378355388343334,00:27:32
265,models/model265/,mlp,3x,410,4,Tanh,0.23,78,5.4954087385762485e-06,200,0.04144056563498453,0.03647252225875855,0.004968043376225979,00:41:56
266,models/model266/,mlp,3x,58,5,LeakyReLU,0.32,30,0.00020892961308540387,200,0.04069223239319399,0.03593193143606186,0.004760300957132131,00:44:48
267,models/model267/,mlp,3x,439,3,LeakyReLU,0.33,45,2.6302679918953814e-05,200,0.03497487743094097,0.030952930152416226,0.004021947278524748,00:41:40
268,models/model268/,lstm,3x,218,4,LeakyReLU,0.08,155,3.467368504525317e-06,200,0.04862858576816506,0.04169491291046142,0.006933672857703642,01:18:32
269,models/model269/,mlp,3x,243,2,LeakyReLU,0.21,27,1.3489628825916533e-05,200,0.03422558526834474,0.03035619333386422,0.0038693919344805166,00:41:07
270,models/model270/,lstm,3x,455,2,Tanh,0.37,97,1.3803842646028838e-06,200,0.057783914079656835,0.05247113072872163,0.005312783350935205,02:00:10
271,models/model271/,mlp,3x,49,6,ReLU,0.27,613,6.606934480075964e-06,200,0.3413647528896109,0.3200321961343289,0.021332556755281985,00:28:00
272,models/model272/,lstm,3x,46,5,ReLU,0.17,167,0.00044668359215096305,200,0.043281147560104725,0.038303313314914704,0.004977834245190024,00:57:47
273,models/model273/,lstm,3x,56,5,LeakyReLU,0.31,1296,6.30957344480193e-06,200,0.41433587002754213,0.29787181997299195,0.11646405005455018,00:35:14
274,models/model274/,mlp,3x,245,5,ReLU,0.25,26,0.0006606934480075957,200,0.05562535478686916,0.050756525933742545,0.004868828853126616,00:49:03
275,models/model275/,mlp,3x,165,5,ReLU,0.31,427,5.4954087385762485e-06,200,0.04835149977914989,0.03967936635017395,0.00867213342897594,00:31:06
276,models/model276/,lstm,3x,359,5,LeakyReLU,0.2,35,9.549925860214369e-06,200,0.035799771089805296,0.031103949695825583,0.004695821393979715,04:07:09
277,models/model277/,mlp,3x,215,5,LeakyReLU,0.29,69,0.0003311311214825911,200,0.04008817562251352,0.03543325990438461,0.004654915718128905,00:37:13
278,models/model278/,lstm,3x,109,2,Tanh,0.26,418,0.0006606934480075957,200,0.044179228216875345,0.03922433406114578,0.0049548941557295625,00:40:48
279,models/model279/,mlp,3x,385,5,LeakyReLU,0.29,948,1e-06,200,0.20460905210673808,0.08712293720245361,0.11748611490428447,00:38:01
280,models/model280/,lstm,3x,16,5,LeakyReLU,0.35,98,9.332543007969906e-06,200,0.288662709062919,0.2653952758312225,0.023267433231696492,01:12:20
281,models/model281/,mlp,3x,34,5,ReLU,0.44,109,0.00044668359215096305,200,0.09313435590220616,0.08823107412457466,0.00490328177763149,00:31:40
282,models/model282/,lstm,3x,48,4,ReLU,0.34,229,2.818382931264455e-05,200,0.05458825577888639,0.049300058126449595,0.005288197652436793,00:43:48
283,models/model283/,mlp,3x,26,5,LeakyReLU,0.25,608,9.332543007969906e-06,200,0.22371778655052182,0.148539466381073,0.07517832016944885,00:27:38
284,models/model284/,lstm,3x,198,4,Tanh,0.31,929,1.3489628825916533e-06,200,0.28492581725865607,0.1859737857580185,0.09895203150063753,00:56:13
